module_type,path,status,notes
"page","C:\home\vscode\bikube\app\Filament\Pages\Security\AdminIpRules.php","PENDING",""
"page","C:\home\vscode\bikube\app\Filament\Pages\Security\ApiKeys.php","PENDING",""
"page","C:\home\vscode\bikube\app\Filament\Pages\Security\AuditLogs.php","PENDING",""
"page","C:\home\vscode\bikube\app\Filament\Pages\Security\TwoFactorSetup.php","PENDING",""
"page","C:\home\vscode\bikube\app\Filament\Pages\AgentTeamChat.php","PENDING",""
"page","C:\home\vscode\bikube\app\Filament\Pages\AssistantDashboard.php","PENDING",""
"page","C:\home\vscode\bikube\app\Filament\Pages\Dashboard.php","PENDING",""
"page","C:\home\vscode\bikube\app\Filament\Pages\DeliveryOperationsBoard.php","PENDING",""
"page","C:\home\vscode\bikube\app\Filament\Pages\Dispatch.php","PENDING",""
"page","C:\home\vscode\bikube\app\Filament\Pages\DispatchRulePreview.php","PENDING",""
"page","C:\home\vscode\bikube\app\Filament\Pages\EcoDisposalDashboard.php","PENDING",""
"page","C:\home\vscode\bikube\app\Filament\Pages\ExceptionSlaCenter.php","PENDING",""
"page","C:\home\vscode\bikube\app\Filament\Pages\LiveOperationsMap.php","PENDING",""
"page","C:\home\vscode\bikube\app\Filament\Pages\OperationExceptionsList.php","PENDING",""
"page","C:\home\vscode\bikube\app\Filament\Pages\OperationsCoreBoard.php","PENDING",""
"page","C:\home\vscode\bikube\app\Filament\Pages\RoadsideDashboard.php","PENDING",""
"page","C:\home\vscode\bikube\app\Filament\Pages\RoadsideDebugPage.php","PENDING",""
"page","C:\home\vscode\bikube\app\Filament\Pages\RoadsideDispatchBoard.php","PENDING",""
"page","C:\home\vscode\bikube\app\Filament\Pages\ServiceJobsBoard.php","PENDING",""
"page","C:\home\vscode\bikube\app\Filament\Pages\SocialCareAnalytics.php","PENDING",""
"page","C:\home\vscode\bikube\app\Filament\Pages\SocialCareDashboard.php","PENDING",""
"page","C:\home\vscode\bikube\app\Filament\Pages\TasksKanban.php","PENDING",""
"page","C:\home\vscode\bikube\app\Filament\Pages\TasksTimeline.php","PENDING",""
"page","C:\home\vscode\bikube\app\Filament\Pages\UnifiedOperationsCore.php","PENDING",""
"page","C:\home\vscode\bikube\app\Filament\Pages\Virtual2DOffice.php","PENDING",""
"page","C:\home\vscode\bikube\app\Filament\Pages\Virtual3DOffice.php","PENDING",""
"page","C:\home\vscode\bikube\app\Filament\Pages\VirtualOfficeDashboard.php","PENDING",""
"resource","C:\home\vscode\bikube\app\Filament\Resources\AdCategoryResource\Pages\CreateAdCategory.php","PENDING",""
"resource","C:\home\vscode\bikube\app\Filament\Resources\AdCategoryResource\Pages\EditAdCategory.php","PENDING",""
"resource","C:\home\vscode\bikube\app\Filament\Resources\AdCategoryResource\Pages\ListAdCategories.php","PENDING",""
"resource","C:\home\vscode\bikube\app\Filament\Resources\AdFeatureResource\Pages\CreateAdFeature.php","PENDING",""
"resource","C:\home\vscode\bikube\app\Filament\Resources\AdFeatureResource\Pages\EditAdFeature.php","PENDING",""
"resource","C:\home\vscode\bikube\app\Filament\Resources\AdFeatureResource\Pages\ListAdFeatures.php","PENDING",""
"resource","C:\home\vscode\bikube\app\Filament\Resources\AdImportResource\Pages\CreateAdImport.php","PENDING",""
"resource","C:\home\vscode\bikube\app\Filament\Resources\AdImportResource\Pages\ListAdImports.php","PENDING",""
"resource","C:\home\vscode\bikube\app\Filament\Resources\AdminIpRuleResource\Pages\CreateAdminIpRule.php","PENDING",""
"resource","C:\home\vscode\bikube\app\Filament\Resources\AdminIpRuleResource\Pages\EditAdminIpRule.php","PENDING",""
"resource","C:\home\vscode\bikube\app\Filament\Resources\AdminIpRuleResource\Pages\ListAdminIpRules.php","PENDING",""
"resource","C:\home\vscode\bikube\app\Filament\Resources\AnalyticsResource\Pages\EditAnalytics.php","PENDING",""
"resource","C:\home\vscode\bikube\app\Filament\Resources\AnalyticsResource\Pages\ListAnalytics.php","PENDING",""
