path,status,notes
routes\web.php,CHANGED,added vipps fallback route /order/{orderId}/vipps/fallback
routes\web-virtual-office.php,PENDING_REVIEW,queued for manual review
routes\logistics-api.php,PENDING_REVIEW,queued for manual review
routes\console.php,PENDING_REVIEW,queued for manual review
routes\channels.php,PENDING_REVIEW,queued for manual review
routes\auth.php,PENDING_REVIEW,queued for manual review
routes\\api_ops.php,REVIEWED,ops routes mapped; Sanctum read/write matrix verified via audit/_ops_authenticated_api_matrix_server.json
routes\api_agency_agents.php,PENDING_REVIEW,queued for manual review
routes\api.php,CHANGED,added vipps consent-removal and shipping-details routes under /api/v1/payments/vipps/*
routes\api-virtual-office.php,PENDING_REVIEW,queued for manual review
routes\agency_hub.php,PENDING_REVIEW,queued for manual review
routes\agency-agents.php,PENDING_REVIEW,queued for manual review
routes\\admin.php,REVIEWED,admin sidebar role probe (89 routes) evidence in audit/_ops_admin_page_role_matrix_full_server.json
resources\views\welcome.blade.php,PENDING_REVIEW,queued for manual review
app\View\Components\GuestLayout.php,PENDING_REVIEW,queued for manual review
app\View\Components\AppLayout.php,PENDING_REVIEW,queued for manual review
resources\views\virtual-office\zones.blade.php,PENDING_REVIEW,queued for manual review
resources\views\virtual-office\zone-show.blade.php,PENDING_REVIEW,queued for manual review
resources\views\virtual-office\tasks.blade.php,PENDING_REVIEW,queued for manual review
resources\views\virtual-office\task-show.blade.php,PENDING_REVIEW,queued for manual review
resources\views\virtual-office\messages.blade.php,PENDING_REVIEW,queued for manual review
resources\views\virtual-office\index.blade.php,PENDING_REVIEW,queued for manual review
resources\views\virtual-office\canvas.blade.php,PENDING_REVIEW,queued for manual review
resources\views\virtual-office\agents.blade.php,PENDING_REVIEW,queued for manual review
resources\views\virtual-office\agent-show.blade.php,PENDING_REVIEW,queued for manual review
app\Tenancy\DomainTenantFinder.php,PENDING_REVIEW,queued for manual review
resources\views\public\tow-landing.blade.php,PENDING_REVIEW,queued for manual review
resources\views\public\stores\show.blade.php,PENDING_REVIEW,queued for manual review
resources\views\public\stores\index.blade.php,PENDING_REVIEW,queued for manual review
resources\views\public\social-landing.blade.php,PENDING_REVIEW,queued for manual review
app\Support\Ops\WorkbenchErrorPresenter.php,PENDING_REVIEW,queued for manual review
app\Support\Ops\SlaLabelPresenter.php,PENDING_REVIEW,queued for manual review
app\Support\Ops\OpsUiPresenter.php,PENDING_REVIEW,queued for manual review
app\Support\Ops\JobStatusPresenter.php,PENDING_REVIEW,queued for manual review
app\Support\Ops\ExecutorStatusPresenter.php,PENDING_REVIEW,queued for manual review
app\Support\Ops\ExceptionPresenter.php,PENDING_REVIEW,queued for manual review
app\Support\Ops\DispatchReasonPresenter.php,PENDING_REVIEW,queued for manual review
app\Support\Ops\DispatchModifierPresenter.php,PENDING_REVIEW,queued for manual review
app\Support\Ops\CandidateDiagnosticsPresenter.php,PENDING_REVIEW,queued for manual review
resources\views\public\services\index.blade.php,PENDING_REVIEW,queued for manual review
resources\views\public\roadside-track.blade.php,PENDING_REVIEW,queued for manual review
resources\views\public\roadside-help.blade.php,PENDING_REVIEW,queued for manual review
resources\views\public\roadside-help-success.blade.php,PENDING_REVIEW,queued for manual review
tests\Unit\Services\Delivery\TariffCalculatorTest.php,PENDING_REVIEW,queued for manual review
tests\Unit\Services\Delivery\GeofenceServiceTest.php,PENDING_REVIEW,queued for manual review
tests\Unit\Services\CareAccountReadServiceTest.php,PENDING_REVIEW,queued for manual review
tests\Unit\Services\AccountReadServiceTest.php,PENDING_REVIEW,queued for manual review
tests\Unit\RoutingServiceFallbackTest.php,PENDING_REVIEW,queued for manual review
tests\Unit\RepairUpdateServiceTest.php,PENDING_REVIEW,queued for manual review
app\Support\Local\SocialCareLocalDemoSeeder.php,PENDING_REVIEW,queued for manual review
app\Support\Local\MovingLocalDemoSeeder.php,PENDING_REVIEW,queued for manual review
resources\views\public\roadside\thanks.blade.php,PENDING_REVIEW,queued for manual review
resources\views\public\roadside\success.blade.php,PENDING_REVIEW,queued for manual review
resources\views\public\roadside\sos.blade.php,PENDING_REVIEW,queued for manual review
resources\views\public\roadside\order.blade.php,PENDING_REVIEW,queued for manual review
resources\views\public\roadside\index.blade.php,PENDING_REVIEW,queued for manual review
resources\views\public\roadside\form.blade.php,PENDING_REVIEW,queued for manual review
tests\Unit\PriceEngineTest.php,PENDING_REVIEW,queued for manual review
app\Support\Lk\Navigation.php,PENDING_REVIEW,queued for manual review
resources\views\public\restaurants\show.blade.php,PENDING_REVIEW,queued for manual review
resources\views\public\restaurants\index.blade.php,PENDING_REVIEW,queued for manual review
app\Support\Dispatch\DispatchRuleFormSchema.php,PENDING_REVIEW,queued for manual review
app\Support\Dispatch\DispatchRuleCatalog.php,PENDING_REVIEW,queued for manual review
tests\Unit\Presenters\OrderPresenterTest.php,PENDING_REVIEW,queued for manual review
resources\views\public\repair\request.blade.php,PENDING_REVIEW,queued for manual review
resources\views\public\repair\index.blade.php,PENDING_REVIEW,queued for manual review
resources\views\public\order-form.blade.php,PENDING_REVIEW,queued for manual review
resources\views\public\moving-landing.blade.php,PENDING_REVIEW,queued for manual review
resources\views\public\handyman-landing.blade.php,PENDING_REVIEW,queued for manual review
tests\Unit\Orders\OrderSubOrdersTest.php,PENDING_REVIEW,queued for manual review
resources\views\public\handyman\show.blade.php,PENDING_REVIEW,queued for manual review
resources\views\public\handyman\index.blade.php,PENDING_REVIEW,queued for manual review
resources\views\public\handyman\custom-request.blade.php,PENDING_REVIEW,queued for manual review
resources\views\public\food-landing.blade.php.backup,PENDING_REVIEW,queued for manual review
resources\views\public\food-landing.blade.php,PENDING_REVIEW,queued for manual review
resources\views\public\errand-landing.blade.php.backup,PENDING_REVIEW,queued for manual review
resources\views\public\errand-landing.blade.php,PENDING_REVIEW,queued for manual review
resources\views\public\eco-landing.blade.php,PENDING_REVIEW,queued for manual review
resources\views\public\delivery-market.blade.php,PENDING_REVIEW,queued for manual review
resources\views\public\delivery-landing.blade.php,PENDING_REVIEW,queued for manual review
resources\views\public\category.blade.php,PENDING_REVIEW,queued for manual review
resources\views\public\category-services.blade.php,PENDING_REVIEW,queued for manual review
resources\views\public\categories.blade.php.bak.v4,PENDING_REVIEW,queued for manual review
resources\views\public\categories.blade.php.bak.slider4,PENDING_REVIEW,queued for manual review
resources\views\public\categories.blade.php.bak.final,PENDING_REVIEW,queued for manual review
resources\views\public\categories.blade.php.bak.3d,PENDING_REVIEW,queued for manual review
resources\views\public\categories.blade.php,PENDING_REVIEW,queued for manual review
resources\views\public\catalog.blade.php,PENDING_REVIEW,queued for manual review
app\Services\WebhookSignatureValidator.php,PENDING_REVIEW,queued for manual review
app\Services\WebhookNotifier.php,PENDING_REVIEW,queued for manual review
tests\Unit\Logistics\ShipmentModelTest.php,PENDING_REVIEW,queued for manual review
tests\Unit\Logistics\CreateShipmentRequestTest.php,PENDING_REVIEW,queued for manual review
app\Services\VirtualOffice\TaskService.php,PENDING_REVIEW,queued for manual review
app\Services\VirtualOffice\OfficeZoneService.php,PENDING_REVIEW,queued for manual review
app\Services\VirtualOffice\MessageService.php,PENDING_REVIEW,queued for manual review
app\Services\VirtualOffice\CategoryService.php,PENDING_REVIEW,queued for manual review
app\Services\VirtualOffice\AgentService.php,PENDING_REVIEW,queued for manual review
app\Services\VirtualOffice\AgentImportService.php,PENDING_REVIEW,queued for manual review
app\Services\VegvesenTravelTimeIngestor.php,PENDING_REVIEW,queued for manual review
app\Services\VegvesenIncidentIngestor.php,PENDING_REVIEW,queued for manual review
app\Services\VegvesenCkanClient.php,PENDING_REVIEW,queued for manual review
app\Services\TwoFactorService.php,PENDING_REVIEW,queued for manual review
app\Services\TelemetryService.php,PENDING_REVIEW,queued for manual review
app\Services\TaskGenerator.php,PENDING_REVIEW,queued for manual review
app\Services\StripePaymentService.php,CHANGED,stripe customer return type fixed + confirm options support; see audit/_payment_path_check_order16_20260422.json and audit/_payment_confirm_status_check_20260422.json
resources\views\profile\partials\update-profile-information-form.blade.php,PENDING_REVIEW,queued for manual review
resources\views\profile\partials\update-password-form.blade.php,PENDING_REVIEW,queued for manual review
resources\views\profile\partials\delete-user-form.blade.php,PENDING_REVIEW,queued for manual review
resources\views\profile\edit.blade.php,PENDING_REVIEW,queued for manual review
app\Services\SocialCare\VisitLifecycleService.php,PENDING_REVIEW,queued for manual review
app\Services\SocialCare\SocialHelperMatchingService.php,PENDING_REVIEW,queued for manual review
app\Services\SocialCare\SocialCareIntegrationService.php,PENDING_REVIEW,queued for manual review
app\Services\SocialCare\SocialCareAnalyticsService.php,PENDING_REVIEW,queued for manual review
app\Services\SocialCare\CareOrderService.php,PENDING_REVIEW,queued for manual review
app\Services\SocialCare\CareContactResolver.php,PENDING_REVIEW,queued for manual review
app\Services\SocialCare\CareAccountReadService.php,PENDING_REVIEW,queued for manual review
app\Services\SlaService.php,PENDING_REVIEW,queued for manual review
resources\views\pdf\eco_certificate.blade.php,PENDING_REVIEW,queued for manual review
